specimen_name,strat_level
1a,5.525
2a,5.52
3a,5.57
4a,5.57
5a,5.57
6a,25.9
7a,25.96
8a,25.98
9a,26.13
10a,26.16
11a,26.19
57a,30.3
58a,30.345
59a,30.37
60a,30.47
61a,30.49
12a,66.2
13a,66.25
14a,66.24
15a,66.25
16a,66.28
17a,66.43
18a,66.48
19a,66.5
20a,66.565
21a,66.665
22a,66.715
23a,67.62
24a,67.67
25a,67.72
26a,67.72
27a,67.72
28a,68.16
29a,68.34
30a,68.48
31a,68.48
32a,87.63
33a,87.6
34a,87.66
35a,87.6
36a,87.58
37a,87.58
38a,87.65
39a,87.65
40a,87.8
41a,87.8
42a,92.35
43a,92.35
44a,92.35
45a,92.35
46a,92.35
47a,92.35
48a,92.4
49a,92.4
50a,92.4
51a,92.4
52a,92.85
53a,92.85
54a,92.85
55a,92.85
56a,92.85
62a,92.425
63a,92.425
64a,92.425
65a,92.425
66a,92.525
67a,92.525
68a,92.715
69a,92.715
70a,92.715
71a,92.765
72a,92.765
73a,92.765
74a,92.825
75a,92.825