,thickness,lithology,grain size,structure,note
0,5,basalt,igneous,,"base datum basalt, arbitrary thickness"
0.4,0.4,sandstone,F,ripples,
2.7,2.3,sandstone,F,trough x-beddings,
5.5,2.8,sandstone,F,trough x-beddings,
6.1,0.6,sandstone,VF,ripples,
6.2,0.1,sandstone,M,,
6.3,0.1,sandstone,M,,
9.4,3.1,sandstone,F,ripples; trough x-beddings,
12.9,3.5,cover,cover,,
14.1,1.2,sandstone,VF,ripples,
19.8,5.7,cover,cover,,
21.3,1.5,sandstone,F,rip-ups,
24.8,3.5,cover,cover,,
26.6,1.8,siltstone,VF,imbrication; ripples,
30.1,3.5,sandstone,M,,
30.4,0.3,siltstone,VF,,
31.4,1,sandstone,VF,ripples,
32.4,1,sandstone,F,trough x-beddings,
33.5,1.1,cover,cover,,
35.5,2,sandstone,VF,,
44.4,8.9,cover,cover,,
45,0.6,sandstone,VF,,
46.6,1.6,cover,cover,,
48.3,1.7,sandstone,F,trough x-beddings,
52.8,4.5,cover,cover,,
53,0.2,arkose,M,,
55.7,2.7,cover,cover,,
56.5,0.8,sandstone,F,ripples,
57.3,0.8,cover,cover,,
58.7,1.4,siltstone,VF,ripples,
61.7,3,cover,cover,,
62.6,0.9,siltstone,VF,x-beddings,
63.9,1.3,cover,cover,,
64,0.1,sandstone,VF,,
65.9,1.9,arkose,F,x-beddings,
67,1.1,siltstone,VF,x-beddings,
67.6,0.6,arkose,M,trough x-beddings,
67.73,0.13,sandstone,VF,,
68,0.27,sandstone,M,x-beddings,
68.34,0.34,siltstone,VF,ripples,
68.45,0.11,sandstone,F,x-beddings,
69.2,0.75,siltstone,VF,ripples,
70,0.8,sandstone,F,x-beddings,
76.7,6.7,cover,cover,,
76.9,0.2,sandstone,VF,ripples,
80.3,3.4,cover,cover,,
84.8,4.5,sandstone,VF,,
87.4,2.6,sandstone,VF,,
88.2,0.8,sandstone,VF,,
92.2,4,cover,cover,,
92.3,0.1,sandstone,VF,rip-ups; ripples,
93.6,1.3,siltstone,VF,ripples,
94.1,0.5,sandstone,F,trough x-beddings,
95.8,1.7,siltstone,VF,,