                                            ,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,AF1-,,,,,,,,,,,,,,,,,,,,,
site_name,Agate Falls 1,,,,,,,,,,,,,,,,,,,,,
site_lat,46.481209,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-89.090305,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,347.258972,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,0.6,345,70.0,242.0,1.0,no,351.0,-4.0,2020.0,7.0,30.0,13.0,38.0,1.0,nan,338.7,[356.47837546867635; 72.32114467135825; 55445.202019451586],-3.5216245313236527,-6.300000000000011,338.7,nan
2a,mag compass orientation (IGRF corrected),0.85,344,78.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,13.0,41.0,1.0,nan,nan,[356.478375372744; 72.32114422050266; 55445.2014638987],-3.521624627256017,insufficient data,340.5,nan
4a,mag compass orientation (IGRF corrected),0.92,11,84.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,13.0,50.0,1.0,nan,nan,[356.4783750849468; 72.32114286793588; 55445.19979724011],-3.5216249150532235,insufficient data,7.5,nan
5a,sun compass orientation,1,11,80.0,242.0,1.0,no,367.0,-4.0,2020.0,7.0,30.0,13.0,56.0,1.0,nan,3.6,[356.478374893082; 72.32114196622463; 55445.198686134405],-3.521625106918009,-7.4,3.6,nan
6a,mag compass orientation (IGRF corrected),1.01,338,76.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,14.0,8.0,1.0,nan,nan,[356.4783745093525; 72.321140162802; 55445.19646392303],-3.521625490647523,insufficient data,334.5,nan
7a,mag compass orientation (IGRF corrected),1.13,338,73.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,14.0,15.0,1.0,nan,nan,[356.4783742855103; 72.32113911080543; 55445.19516763309],-3.521625714489687,insufficient data,334.5,nan
8a,sun compass orientation,1.23,335,71.0,242.0,1.0,no,319.0,-4.0,2020.0,7.0,30.0,14.0,28.0,1.0,nan,331.5,[356.4783738698034; 72.32113715709733; 55445.19276023753],-3.52162613019658,-3.5,331.5,nan
9a,mag compass orientation (IGRF corrected),1.28,338,76.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,14.0,38.0,1.0,nan,nan,[356.4783735500289; 72.32113565424481; 55445.190908394834],-3.5216264499711087,insufficient data,334.5,nan
10a,mag compass orientation (IGRF corrected),1.36,338,74.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,14.0,47.0,1.0,nan,nan,[356.47837326223186; 72.3211343016775; 55445.18924173643],-3.5216267377681447,insufficient data,334.5,nan
11a,mag compass orientation (IGRF corrected),1.42,333,69.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,14.0,54.0,1.0,nan,nan,[356.47837303838975; 72.32113324968063; 55445.18794544659],-3.5216269616102522,insufficient data,329.5,nan
12a,mag compass orientation (IGRF corrected),1.46,331,79.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,15.0,1.0,1.0,nan,nan,[356.47837281454764; 72.32113219768374; 55445.186649156785],-3.5216271854523598,insufficient data,327.5,nan
13a,mag compass orientation (IGRF corrected),1.49,318,79.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,15.0,15.0,1.0,nan,nan,[356.47837236686354; 72.32113009368975; 55445.18405657721],-3.521627633136461,insufficient data,314.5,nan
14a,mag compass orientation (IGRF corrected),1.52,334,82.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,15.0,23.0,1.0,nan,nan,[356.47837211104405; 72.32112889140738; 55445.18257510321],-3.5216278889559476,insufficient data,330.5,nan
15a,mag compass orientation (IGRF corrected),5.15,353,50.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,15.0,41.0,1.0,nan,nan,[356.47837153545026; 72.3211261862718; 55445.179241786725],-3.5216284645497353,insufficient data,349.5,nan
16a,mag compass orientation (IGRF corrected),5.2,360,75.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,15.0,48.0,1.0,nan,nan,[356.47837131160827; 72.3211251342746; 55445.177945497046],-3.521628688391729,insufficient data,356.5,nan
17a,mag compass orientation (IGRF corrected),5.8,327,57.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,16.0,5.0,1.0,nan,nan,[356.47837076799203; 72.32112257942391; 55445.174797365005],-3.5216292320079674,insufficient data,323.5,nan
18a,mag compass orientation (IGRF corrected),6.1,320,70.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,16.0,21.0,1.0,nan,nan,[356.47837025635334; 72.3211201748583; 55445.17183441731],-3.521629743646656,insufficient data,316.5,nan
19a,mag compass orientation (IGRF corrected),6.5,350,80.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,16.0,39.0,1.0,nan,nan,[356.4783696807599; 72.32111746972171; 55445.168501101296],-3.521630319240103,insufficient data,346.5,nan
20a,mag compass orientation (IGRF corrected),6.55,335,73.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,16.0,43.0,1.0,nan,nan,[356.47836955285027; 72.32111686858016; 55445.16776036438],-3.5216304471497324,insufficient data,331.5,nan
21a,mag compass orientation (IGRF corrected),6.55,297,5.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,16.0,54.0,1.0,nan,nan,[356.4783692010988; 72.32111521544093; 55445.165723337996],-3.5216307989011852,insufficient data,293.5,nan
22a,mag compass orientation (IGRF corrected),6.55,271,0.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,17.0,5.0,1.0,nan,nan,[356.47836884934736; 72.32111356230159; 55445.16368631167],-3.521631150652638,insufficient data,267.5,nan
23a,mag compass orientation (IGRF corrected),6.56,299,55.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,17.0,10.0,1.0,nan,nan,[356.47836868946035; 72.32111281087455; 55445.16276039056],-3.5216313105396466,insufficient data,295.5,nan
24a,mag compass orientation (IGRF corrected),6.57,303,51.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,17.0,17.0,1.0,nan,nan,[356.47836846561853; 72.32111175887667; 55445.16146410118],-3.52163153438147,insufficient data,299.5,nan
25a,mag compass orientation (IGRF corrected),1.34,323,68.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,17.0,41.0,1.0,nan,nan,[356.47836769816104; 72.32110815202644; 55445.15701968029],-3.521632301838963,insufficient data,319.5,nan
26a,mag compass orientation (IGRF corrected),1.39,326,64.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,17.0,43.0,1.0,nan,nan,[356.4783676342063; 72.32110785145557; 55445.15664931191],-3.521632365793721,insufficient data,322.5,nan
27a,mag compass orientation (IGRF corrected),1.4,330,74.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,17.0,47.0,1.0,nan,nan,[356.4783675062967; 72.32110725031379; 55445.1559085751],-3.5216324937032937,insufficient data,326.5,nan
28a,mag compass orientation (IGRF corrected),1.43,328,64.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,17.0,52.0,1.0,nan,nan,[356.47836734640975; 72.32110649888654; 55445.15498265415],-3.5216326535902454,insufficient data,324.5,nan
